gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,playType,yardlineSide,yardlineNumber,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,preSnapVisitorScore,preSnapHomeScore,gameClock,absoluteYardlineNumber,penaltyCodes,penaltyJerseyNumbers,passResult,offensePlayResult,playResult,epa,isDefensivePI
2018090600,75,(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).,1,1,15,ATL,play_type_pass,ATL,20,I_FORM,"2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,0,15:00:00,90,,,C,10,10,0.261827272178674,FALSE
2018090600,146,"(13:10) M.Ryan pass incomplete short right to C.Ridley (J.Mills, J.Hicks).",1,1,10,ATL,play_type_pass,PHI,39,SINGLEBACK,"1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,0,13:10:00,49,,,I,0,0,-0.372359818040743,FALSE
2018090600,168,(13:05) (Shotgun) M.Ryan pass incomplete short left to D.Freeman.,1,2,10,ATL,play_type_pass,PHI,39,SHOTGUN,"2 RB, 1 TE, 2 WR",6,4,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,0,13:05:00,49,,,I,0,0,-0.702778658242491,FALSE
2018090600,190,(13:01) (Shotgun) M.Ryan pass deep left to J.Jones to PHI 6 for 33 yards (R.Darby).,1,3,10,ATL,play_type_pass,PHI,39,SHOTGUN,"1 RB, 1 TE, 3 WR",6,5,"4 DL, 1 LB, 6 DB",SCRAMBLE_ROLLOUT_LEFT,0,0,13:01:00,49,,,C,33,33,3.04752999500653,FALSE
2018090600,256,(10:59) (Shotgun) M.Ryan pass incomplete short right to D.Freeman.,1,3,1,ATL,play_type_pass,PHI,1,SHOTGUN,"2 RB, 3 TE, 0 WR",8,6,"6 DL, 3 LB, 2 DB",TRADITIONAL,0,0,10:59:00,11,,,I,0,0,-0.842271872651946,FALSE
2018090600,320,(10:10) (Shotgun) N.Foles pass short left to N.Agholor to PHI 8 for 4 yards (R.Alford).,1,2,8,PHI,play_type_pass,PHI,4,SHOTGUN,"1 RB, 1 TE, 3 WR",7,4,"3 DL, 3 LB, 5 DB",TRADITIONAL,0,0,10:10:00,14,,,C,4,4,-0.344096467462392,FALSE
2018090600,344,(9:24) (Shotgun) N.Foles pass incomplete short left to D.Sproles (R.Allen).,1,3,4,PHI,play_type_pass,PHI,8,EMPTY,"1 RB, 2 TE, 2 WR",6,4,"3 DL, 3 LB, 5 DB",TRADITIONAL,0,0,09:24:00,18,,,I,0,0,-1.19220828463531,FALSE
2018090600,402,(9:08) M.Ryan pass incomplete deep left to M.Sanu.,1,1,10,ATL,play_type_pass,PHI,44,SINGLEBACK,"1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB",SCRAMBLE_ROLLOUT_LEFT,0,0,09:08:00,54,,,I,0,0,-0.429862558722865,FALSE
2018090600,492,(7:01) M.Ryan pass short left to T.Coleman pushed ob at PHI 10 for 26 yards (R.McLeod).,1,2,13,ATL,play_type_pass,PHI,36,SINGLEBACK,"1 RB, 2 TE, 2 WR",8,4,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,0,07:01:00,46,,,C,26,26,1.87980397791624,FALSE
2018090600,521,"(6:19) M.Ryan pass short left to A.Hooper to PHI 7 for 3 yards (N.Gerry). Philadelphia challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",1,1,10,ATL,play_type_pass,PHI,10,SINGLEBACK,"1 RB, 2 TE, 2 WR",8,3,"4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_LEFT,0,0,06:19:00,20,,,C,3,3,0.0456650977161344,FALSE
